company,model,price,vehicle_type,transmission,cylinders,horsepower,acceleration,drive_train,fuel_type,fuel_consumption,towing,war_comp,war_power,war_rust,safety,reliability,consumer_rec
Acura,ILX,29.7,Compact (Sedan),Automatic with Manual Option,4,9.7,9.7,Front-wheel Drive,Gas,7.2,N/A,"4 years, 80k","5 years, 100k","5 years, unlimited",Good,N/A,Yes
Acura,MDX,51.9,SUV (full-size),Automatic with Manual Option,6,N/A,N/A,All-wheel Drive,Gas,9.6,5000,"4 years, 80k","5 years, 100k","5 years, unlimited",N/A,N/A,N/A
Acura,RDX,43.1,SUV (mid-size),Automatic with Manual Option,6,6.9,6.8,All-wheel Drive,Gas,9.2,1500,"4 years, 80k","5 years, 100k","5 years, unlimited",Good,Good,Yes
Acura,RLX,51.9,Full-Size (Sedan),Automatic with Manual Option,6,6.8,6.7,Front-wheel Drive,Gas,8.6,N/A,"4 years, 80k","5 years, 100k","5 years, unlimited",Good,Very Good,No
Acura,TL,41.9,Mid-size (Sedan),Automatic with Manual Option,6,7.1,7,Front-wheel Drive,Gas,8.6,N/A,"4 years, 80k","5 years, 100k","5 years, unlimited",Good,Very Good,Yes
Acura,TSX,36,Mid-size (Sedan),Manual,4,8.6,8.6,Front-wheel Drive,Gas,8.5,N/A,"4 years, 80k","5 years, 100k","5 years, unlimited",Good,Very Good,Yes
Acura,ZDX,58.7,Crossover,Automatic with Manual Option,N/A,N/A,N/A,All-wheel Drive,Gas,10.9,1500,"4 years, 80k","5 years, 100k","5 years, unlimited",N/A,N/A,N/A
Audi,A3,39.5,Hatchback,Automatic with Manual Option,4,200,6.7,All wheel drive,Gas,8.6,N/A,"4 years, 80k","4 years, 80k","12 years, unlimited",Good,Very Good,Yes
Audi,A3,39.1,Hatchback,Automatic with Manual Option,4,140,8.8,Front-wheel Drive,Diesel,5.7,N/A,"4 years, 80k","4 years, 80k","12 years, unlimited",Good,N/A,N/A
Audi,A4,44,Mid-size (Sedan),Automatic with Manual Option,4,211,6.7,All-wheel Drive,Gas,7.9,N/A,"4 years, 80k","4 years, 80k","12 years, unlimited",Good,Very Good,Yes
Audi,A4,47.8,Crossover,Automatic with Manual Option,4,211,6.7,All-wheel Drive,Gas,8.9,1680,"4 years, 80k","4 years, 80k","12 years, unlimited",N/A,Very Good,Yes
Audi,A5,50,Mid-size (Sedan),Automatic with Manual Option,4,211,6.6,All-wheel Drive,Gas,7.9,N/A,"4 years, 80k","4 years, 80k","12 years, unlimited",N/A,Very Good,Yes
Audi,A6,62.5,Mid-Size (Sedan),Automatic with Manual Option,6,310,5.5,All-wheel Drive,Gas,9.3,N/A,"4 years, 80k","4 years, 80k","12 years, unlimited",Good,Good,Yes
Audi,A7,72,Mid-size (Sedan),Automatic with Manual Option,6,310,5.6,All-wheel Drive,Gas,9.4,N/A,"4 years, 80k","4 years, 80k","12 years, unlimited",N/A,Very Good,No
Audi,A8,93,Full-size (Sedan),Automatic with Manual Option,6,333,5.7,All-wheel Drive,Gas,10,N/A,"4 years, 80k","4 years, 80k","12 years, unlimited",N/A,Very Good,No
Audi,Q5,43,SUV (mid-size),Automatic with Manual Option,4,211,7.2,All-wheel Drive,Gas,8.9,4400,"4 years, 80k","4 years, 80k","12 years, unlimited",Good,Good,Yes
Audi,Q5,59,SUV (mid-size),Automatic with Manual Option,4,211,7,All-wheel Drive,Hybrid,7.8,N/A,"4 years, 80k","4 years, 80k","12 years, unlimited",Good,Good,Yes
Audi,Q7,61,SUV (full-size),Automatic with Manual Option,6,280,7.9,All-wheel Drive,Gas,11.5,6600,"4 years, 80k","4 years, 80k","12 years, unlimited",Good,N/A,No
Audi,Q7,66,SUV (full-size),Automatic with Manual Option,6,240,7.9,All-wheel Drive,Diesel,9.3,N/A,"4 years, 80k","4 years, 80k","12 years, unlimited",Good,N/A,No
Audi,R8,137,Coupe,Manual,8,430,4.6,All-wheel Drive,Gas,17.5,N/A,"4 years, 80k","4 years, 80k","12 years, unlimited",N/A,N/A,No
Audi,S4,55.5,Mid-size (Sedan),Automatic with Manual Option,6,333,5.1,All-wheel Drive,Gas,10.7,N/A,"4 years, 80k","4 years, 80k","12 years, unlimited",N/A,Very Good,No
Audi,TT,52,Coupe,Automatic with Manual Option,4,211,5.5,All-wheel Drive,Gas,7.8,N/A,"4 years, 80k","4 years, 80k","12 years, unlimited",N/A,N/A,No
BMW,1 Series Convertible,46.1,Convertible,Manual,6,230,6.7,Rear-wheel Drive,Gas,9.2,N/A,"4 years, 80k","8 years, 130k","12 years, unlimited",N/A,Good,N/A
BMW,1 Series Coupe,38.9,Coupe,Manual,6,230,6.4,Rear-wheel Drive,Gas,9.2,N/A,"4 years, 80k","8 years, 130k","12 years, unlimited",N/A,Good,Yes
BMW,3 Series,40.5,Mid-size (Sedan),Automatic with Manual Option,4,181,7.1,Rear-wheel Drive,Gas,7.2,N/A,"4 years, 80k","8 years, 130k","12 years, unlimited",Good,Excellent,Yes
BMW,5 Series,59.4,Mid-size (Sedan),Automatic with Manual Option,4,241,6.5,Rear-wheel Drive or AWD,Gas,7.2,N/A,"4 years, 80k","8 years, 130k","12 years, unlimited",Good,Good,Yes
BMW,5 Series Gran Tourismo,73.3,Hatchback,Automatic with Manual Option,6,300,6.5,All-wheel Drive,Gas,9.5,N/A,"4 years, 80k","8 years, 130k","12 years, unlimited",N/A,N/A,N/A
BMW,6 Series Coupe,101.7,Coupe,Automatic with Manual Option,8,445,4.5,All-wheel Drive,Gas,11,N/A,"4 years, 80k","8 years, 130k","12 years, unlimited",N/A,N/A,N/A
BMW,6 Series Convertible,112.8,Convertible,Automatic with Manual Option,8,445,4.6,All-wheel Drive,Gas,11,N/A,"4 years, 80k","8 years, 130k","12 years, unlimited",N/A,N/A,N/A
BMW,7 Series,109.5,Full-Size (Sedan),Automatic with Manual Option,6,315,5.7,All-wheel Drive,Gas,9.5,N/A,"4 years, 80k","8 years, 130k","12 years, unlimited",N/A,Poor,No
BMW,X1,39.9,SUV (small-size),Automatic with Manual Option,4,241,6.6,All-wheel Drive,Gas,7.6,N/A,"4 years, 80k","8 years, 130k","12 years, unlimited",Good,N/A,N/A
BMW,X3,45.7,SUV (mid-size),Automatic with Manual Option,4,241,7,All-wheel Drive,Gas,8.5,3000,"4 years, 80k","8 years, 130k","12 years, unlimited",Good,N/A,N/A
BMW,X5,64.7,SUV (full-size),Automatic with Manual Option,6,300,6.8,All-wheel Drive,Gas,11.1,6000,"4 years, 80k","8 years, 130k","12 years, unlimited",Good,Good,Yes
BMW,X6,69.7,Crossover,Automatic with Manual Option,6,300,6.7,All-wheel Drive,Gas,11.1,N/A,"4 years, 80k","8 years, 130k","12 years, unlimited",N/A,N/A,N/A
BMW,Z4,57.2,Convertible,Manual,4,241,5.7,Rear-wheel Drive,Gas,7.8,N/A,"4 years, 80k","8 years, 130k","12 years, unlimited",N/A,N/A,N/A
Buick,Enclave,46,SUV (full-size),Automatic with Manual Option,6,288,7.9,All-wheel Drive,Gas,10.6,4500,"4 years, 80k","5 years, 100k","6 years, 160k",Good,Good,Yes
Buick,Encore,28.7,SUV (small-size),Automatic,4,138,11.4,Front-wheel Drive,Gas,7.1,N/A,"4 years, 80k","5 years, 100k","6 years, 160k",Good,N/A,No
Buick,Lacrosse,46.5,Full-Size (Sedan),Automatic,6,303,7.5,Front-wheel Drive,Gas,9.8,N/A,"4 years, 80k","5 years, 100k","6 years, 160k",Good,Poor,No
Buick,Regal,38.4,Mid-size (Sedan),Automatic,4,182,N/A,Front-wheel Drive,Gas,7,N/A,"4 years, 80k","5 years, 100k","6 years, 160k",N/A,N/A,N/A
Buick,Verano,24.5,Compact (Sedan),Automatic,4,180,8.8,Front-wheel Drive,Gas,8.3,N/A,"4 years, 80k","5 years, 100k","6 years, 160k",Good,Poor,No
Cadillac,ATS,37.2,Mid-size (Sedan),Manual,4,272,N/A,Rear-wheel Drive,Gas,7.8,N/A,"4 years, 80k","6 years, 110k","6 years, Unlimited",N/A,N/A,N/A
Cadillac,CTS Coupe,44.5,Coupe,Automatic with Manual Option,6,318,7,Rear-wheel Drive,Gas,9.3,N/A,"4 years, 80k","6 years, 110k","6 years, Unlimited",Good,Very Good,Yes
Cadillac,CTS Wagon,43.2,Wagon,Automatic with Manual Option,6,270,7,Rear-wheel Drive,Gas,9.9,1000,"4 years, 80k","6 years, 110k","6 years, Unlimited",Good,Very Good,Yes
Cadillac,CTS Sedan,46.7,Mid-size (Sedan),Automatic with Manual Option,6,270,7,Rear-wheel Drive,Gas,9.5,N/A,"4 years, 80k","6 years, 110k","6 years, Unlimited",Good,Very Good,Yes
Cadillac,Escalade,82,SUV (full-size),Automatic with Manual Option,8,403,7.8,All-wheel Drive,Gas,12.9,8100,"4 years, 80k","6 years, 110k","6 years, Unlimited",N/A,Good,No
Cadillac,SRX,42,Crossover,Automatic with Manual Option,6,308,7.4,All-wheel Drive,Gas,10.7,2500,"4 years, 80k","6 years, 110k","6 years, Unlimited",Good,Fair,No
Cadillac,XTS,50.6,Full-Size (Sedan),Automatic with Manual Option,6,300,7.5,Front-wheel Drive,Gas,9.9,N/A,"4 years, 80k","6 years, 110k","6 years, Unlimited",Good,N/A,No
Chevrolet,Avalanche,49.5,Truck (full-size),Automatic,8,320,9.2,All-wheel Drive,Gas,12.1,8100,"3 years, 60k","5 years, 160k","6 years, 160k",N/A,Very Good,Yes
Chevrolet,Camaro,29.7,Coupe,Manual,6,323,5.28,Rear-wheel Drive,Gas,12.4,N/A,"3 years, 60k","5 years, 160k","6 years, 160k",N/A,Good,Yes
Chevrolet,Corvette,62.2,Convertible,Manual,8,430,4.45,Rear-wheel Drive,Gas,12.9,N/A,"3 years, 60k","5 years, 160k","6 years, 160k",N/A,Fair,No
Chevrolet,Cruze,16.5,Compact (Sedan),Manual,4,138,10.87,Front-wheel Drive,Gas,8.2,N/A,"3 years, 60k","5 years, 160k","6 years, 160k",Good,Good,Yes
Chevrolet,Equinox,28.4,SUV (mid-size),Automatic,4,182,11.08,Front-wheel Drive,Gas,9.2,"1,500","3 years, 60k","5 years, 160k","6 years, 160k",Good,Good,Yes
Chevrolet,Impala,30,Full-Size (Sedan),Automatic,4,196,7.14,Front-wheel Drive,Gas,10.24,N/A,"3 years, 60k","5 years, 160k","6 years, 160k",Good,N/A,N/A
Chevrolet,Malibu,26.5,Mid-Size (Sedan),Automatic,4,182,8.9,Front-wheel Drive,Gas,8.1,N/A,"3 years, 60k","5 years, 160k","6 years, 160k",Good,N/A,N/A
Chevrolet,Orlando,21.5,SUV (small-size),Manual,4,174,N/A,Front-wheel Drive,Gas,10.4,1000,"3 years, 60k","5 years, 160k","6 years, 160k",N/A,N/A,N/A
Chevrolet,Silverado,36.4,Truck (full-size),Automatic,6,285,N/A,All-wheel Drive,Gas,11,7100,"3 years, 60k","5 years, 160k","6 years, 160k",N/A,N/A,No
Chevrolet,Sonic,15.1,Hatchback,Manual,4,138,9.62,Front-wheel Drive,Gas,7.7,N/A,"3 years, 60k","5 years, 160k","6 years, 160k",Good,Good,Yes
Chevrolet,Spark,13.3,Mini Car,Manual,4,84,13.5,Front-wheel Drive,Gas,6.3,N/A,"3 years, 60k","5 years, 160k","6 years, 160k",N/A,N/A,N/A
Chevrolet,Suburban,54.2,SUV (full-size),Automatic,8,320,8.69,Rear-wheel Drive,Gas,14.3,"7,000","3 years, 60k","5 years, 160k","6 years, 160k",N/A,Good,Yes
Chevrolet,Tahoe,56,SUV (full-size),Automatic,8,320,8.7,All-wheel Drive,Gas,12.1,8200,"3 years, 60k","5 years, 160k","6 years, 160k",N/A,N/A,No
Chevrolet,Traverse,37.6,SUV (full-size),Automatic,6,281,8.2,All-wheel Drive,Gas,11,5200,"3 years, 60k","5 years, 160k","6 years, 160k",Good,Good,Yes
Chevrolet,Trax,26.7,SUV (small-size),Automatic,4,138,N/A,All-wheel Drive,Gas,7.7,N/A,"3 years, 60k","5 years, 160k","6 years, 160k",N/A,N/A,N/A
Chevrolet,Volt,43.5,Hatchback,Automatic,N/A,150,9.73,Front-wheel Drive,Electric,N/A,N/A,"3 years, 60k","5 years, 160k","6 years, 160k",Good,Very Good,Yes
Chrysler,200,21.7,Mid-size (Sedan),Automatic,4,173,N/A,Front-wheel Drive,Gas,8.5,N/A,"3 years, 60k","5 years, 160k","5 years, 160k",Good,Fair,No
Chrysler,300,36,Full-size (Sedan),Automatic,6,292,7.7,Front-wheel Drive,Gas,8.7,N/A,"3 years, 60k","5 years, 160k","5 years, 160k",Good,Good,Yes
Chrysler,Town and Country,33.2,Minivan,Automatic,6,283,8.3,Front-wheel Drive,Gas,10.3,N/A,"3 years, 60k","5 years, 160k","5 years, 160k",Good,Poor,No
Dodge,Avenger,21.8,Mid-size (Sedan),Automatic,4,173,10.7,Front-wheel Drive,Gas,8.5,N/A,"3 years, 60k","5 years, 160k","5 years, 160k",Good,N/A,No
Dodge,Challenger,28.8,Coupe,Automatic,6,305,7.3,Rear-wheel Drive,Gas,9.5,N/A,"3 years, 60k","5 years, 160k","5 years, 160k",N/A,Fair,No
Dodge,Charger,31.8,Mid-size (Sedan),Automatic,6,292,7.7,Rear-wheel Drive,Gas,9.5,N/A,"3 years, 60k","5 years, 160k","5 years, 160k",Good,Fair,No
Dodge,Dart,17.7,Compact (Sedan),Manual,4,160,11.3,Front-wheel Drive,Gas,6.8,N/A,"3 years, 60k","5 years, 160k","5 years, 160k",Good,N/A,No
Dodge,Durango,41,SUV (full-size),Automatic,6,290,9.7,All-wheel Drive,Gas,10.9,6200,"3 years, 60k","5 years, 160k","5 years, 160k",N/A,N/A,N/A
Dodge,Grand Caravan,29.8,Minivan,Automatic,6,283,8.3,Front-wheel Drive,Gas,10.3,3600,"3 years, 60k","5 years, 160k","5 years, 160k",Good,Good,Yes
Dodge,Journey,23.3,SUV (mid-size),Automatic,4,173,N/A,Front-wheel Drive,Gas,9.5,2500,"3 years, 60k","5 years, 160k","5 years, 160k",N/A,N/A,N/A
Fiat,500,15,Mini Car,Manual,4,101,11.7,Front-wheel Drive,Gas,5.7,N/A,"4 years, 80k","4 years, 80k","4 years, unlimited",Good,Good,No
Fiat,500C,21.7,Mini Car,Manual,4,101,11.4,Front-wheel Drive,Gas,6,N/A,"4 years, 80k","4 years, 80k","4 years, unlimited",Good,Good,No
Fiat,500L,N/A,Mini Car,Manual,4,160,N/A,Front-wheel Drive,Gas,N/A,N/A,"4 years, 80k","4 years, 80k","4 years, unlimited",N/A,N/A,N/A
Ford,Edge,40,SUV (mid-size),Automatic with Manual Option,6,285,8.4,All-wheel Drive,Gas,9.8,3500,"3 years, 60k","5 years, 100k","5 years, unlimited",Good,Poor,No
Ford,Escape,30.9,SUV (mid-size),Automatic with Manual Option,4,178,N/A,All-wheel Drive,Gas,N/A,2000,"3 years, 60k","5 years, 100k","5 years, unlimited",Good,N/A,N/A
Ford,Expedition,47.8,SUV (full-size),Automatic with Manual Option,8,310,9.4,All-wheel Drive,Gas,18,9000,"3 years, 60k","5 years, 100k","5 years, unlimited",Good,Good,Yes
Ford,Explorer,46,SUV (full-size),Automatic with Manual Option,6,290,8.2,All-wheel Drive,Gas,11.76,5000,"3 years, 60k","5 years, 100k","5 years, unlimited",Good,Poor,No
Ford,F150,32.4,Truck (Full-size),Automatic,6,302,9,All-wheel Drive,Gas,11.5,5500,"3 years, 60k","5 years, 100k","5 years, unlimited",Good,Good,Yes
Ford,Fiesta Hatchback,16.2,Hatchback,Manual,4,120,11.1,Front-wheel Drive,Gas,5.8,N/A,"3 years, 60k","5 years, 100k","5 years, unlimited",Good,Fair,No
Ford,Fiesta Sedan,16.2,Sub-Compact (Sedan),Manual,4,120,11.3,Front-wheel Drive,Gas,5.8,N/A,"3 years, 60k","5 years, 100k","5 years, unlimited",Good,Fair,No
Ford,Flex,30.5,Crossover,A,6,287,8.8,Front-wheel Drive,Gas,10.2,4500,"3 years, 60k","5 years, 100k","5 years, unlimited",Good,Good,Yes
Ford,Focus Hatchback,21.3,Hatchback,Manual,4,160,9.7,Front-wheel Drive,Gas,6.7,N/A,"3 years, 60k","5 years, 100k","5 years, unlimited",Good,Poor,No
Ford,Focus Sedan,17.7,Compact (Sedan),Manual,4,160,9.7,Front-wheel Drive,Gas,6.7,N/A,"3 years, 60k","5 years, 100k","5 years, unlimited",Good,Poor,No
Ford,Fusion,24.2,Mid-size (Sedan),Automatic with Manual Option,4,170,N/A,Front-wheel Drive,Gas,7.7,N/A,"3 years, 60k","5 years, 100k","5 years, unlimited",Good,N/A,N/A
Ford,Mustang,26.2,Coupe,Manual,6,305,6.4,Rear-wheel Drive,Gas,8.8,N/A,"3 years, 60k","5 years, 100k","5 years, unlimited",Good,Good,Yes
Ford,Shelby,63.4,Coupe,Manual,8,662,N/A,Rear-wheel Drive,Gas,11.4,N/A,"3 years, 60k","5 years, 100k","5 years, unlimited",N/A,N/A,N/A
Ford,Super Duty,41,Truck (Full-size),Automatic,8,385,9,All-wheel Drive,Gas,14,14000,"3 years, 60k","5 years, 100k","5 years, unlimited",N/A,Poor,No
Ford,Taurus,30.7,Full-Size (Sedan),Automatic with Manual Option,6,288,7.5,Front-wheel Drive,Gas,7.9,N/A,"3 years, 60k","5 years, 100k","5 years, unlimited",Good,Good,No
GMC,Acadia,41.2,SUV (full-size),Automatic,6,288,8.2,All-wheel Drive,Gas,11.2,5200,"3 years, 60k","5 years, 100k","5 years, unlimited",Good,Good,Yes
GMC,Sierra,32.4,Truck (full-size),Automatic,6,195,N/A,All-wheel Drive,Gas,13.4,9100,"3 years, 60k","5 years, 100k","5 years, unlimited",N/A,N/A,N/A
GMC,Terrain,32.2,SUV (mid-size),Automatic,4,182,7.4,All-wheel Drive,Gas,8.7,1500,"3 years, 60k","5 years, 100k","5 years, unlimited",Good,Good,Yes
GMC,Yukon,56,SUV (full-size),Automatic with Manual Option,8,320,N/A,All-wheel Drive,Gas,12.1,8200,"3 years, 60k","5 years, 100k","5 years, unlimited",N/A,N/A,No
Honda,Accord,26.8,Full-Size (Sedan),Automatic with Manual Option,4,185,7.4,Front-wheel Drive,Gas,6.7,N/A,"5 years, 100k","5 years, 100k","5 years, unlimited",Good,Very Good,Yes
Honda,Civic,16.9,Compact (Sedan),Manual,4,110,6.8,Front-wheel Drive,Gas,6.4,N/A,"5 years, 100k","5 years, 100k","5 years, unlimited",Good,Very Good,Yes
Honda,Civic,26.5,Sedan,Manual,4,110,10.5,Front-wheel Drive,Hybrid,4.3,N/A,"5 years, 100k","5 years, 100k","5 years, unlimited",Good,Very Good,Yes
Honda,Crosstour,39,Crossover,Automatic with Manual Option,6,278,6.7,Front-wheel Drive & AWD,Gas,9.3,N/A,"5 years, 100k","5 years, 100k","5 years, unlimited",Good,Very Good,No
Honda,CRV,29.8,SUV (small-size),Automatic,4,185,8.8,All-wheel Drive,Gas,7.9,N/A,"5 years, 100k","5 years, 100k","5 years, unlimited",Good,Excellent,Yes
Honda,CRZ,24.1,Hatchback,Manual,4,130,9,Front-wheel Drive,Hybrid,5.8,N/A,"5 years, 100k","5 years, 100k","5 years, unlimited",Good,Excellent,No
Honda,Fit,16,Hatchback,Manual,4,117,8.8,Front-wheel Drive,Gas,6.5,N/A,"5 years, 100k","5 years, 100k","5 years, unlimited",Good,Excellent,Yes
Honda,Insight,23.5,Hatchback,CVT,4,98,11.4,Front-wheel Drive,Hybrid,4.6,N/A,"5 years, 100k","5 years, 100k","5 years, unlimited",Good,Very Good,No
Honda,Odyssey,31.6,Minivan,Automatic,6,248,8.4,Front-wheel Drive,Gas,9.2,N/A,"5 years, 100k","5 years, 100k","5 years, unlimited",Good,Good,Yes
Honda,Pilot,39.6,SUV (mid-size),Automatic,6,250,8.6,All-wheel Drive,Gas,10.5,N/A,"5 years, 100k","5 years, 100k","5 years, unlimited",Good,Very Good,Yes
Honda,Ridgeline,36.6,Truck (Full-size),Automatic with Manual Option,6,250,8.3,All-wheel Drive,Gas,11.8,N/A,"5 years, 100k","5 years, 100k","5 years, unlimited",Good,Very Good,Yes
Hyundai,Accent Hatchback,15.3,Hatchback,Manual,4,138,8.2,Front-wheel Drive,Gas,6.3,N/A,"5 years, 100k","5 years, 100k","5 years, unlimited",Good,Good,Yes
Hyundai,Accent Sedan,14.9,Sedan,Manual,4,138,9.94,Front-wheel Drive,Gas,6.3,N/A,"5 years, 100k","5 years, 100k","5 years, unlimited",Good,Good,Yes
Hyundai,Elantra Hatchback,18.7,Hatchback,Manual,4,148,9.4,Front-wheel Drive,Gas,6.7,N/A,"5 years, 100k","5 years, 100k","5 years, unlimited",Good,Very Good,Yes
Hyundai,Elantra Sedan,17.5,Sedan,Manual,4,148,9.2,Front-wheel Drive,Gas,6.2,N/A,"5 years, 100k","5 years, 100k","5 years, unlimited",Good,Very Good,Yes
Hyundai,Equus,66.4,Sedan,Automatic,8,429,6.2,Rear-wheel Drive,Gas,11.4,N/A,"5 years, 100k","5 years, 100k","5 years, unlimited",Good,Good,Yes
Hyundai,Genesis Coupe,28.3,Coupe,Manual,4,274,5.98,Rear-wheel Drive,Gas,8.5,N/A,"5 years, 100k","5 years, 100k","5 years, unlimited",N/A,Fair,No
Hyundai,Genesis Sedan,41.9,Sedan,Automatic,6,333,5.98,Rear-wheel Drive,Gas,9.5,N/A,"5 years, 100k","5 years, 100k","5 years, unlimited",Good,Good,Yes
Hyundai,Santa Fe,32.1,SUV,Automatic,4,190,10,All-wheel Drive,Gas,8.6,N/A,"5 years, 100k","5 years, 100k","5 years, unlimited",Good,N/A,N/A
Hyundai,Sonata,25.7,Sedan (Mid-size),Automatic,4,198,7.9,Front-wheel Drive,Gas,7.3,N/A,"5 years, 100k","5 years, 100k","5 years, unlimited",Good,Good,Yes
Hyundai,Sonata,29.6,Sedan (Mid-size),Automatic,4,199,8.7,Front-wheel Drive,Hybrid,5.2,N/A,"5 years, 100k","5 years, 100k","5 years, unlimited",Good,Fair,No
Hyundai,Tucson,28.4,SUV,Automatic with Manual Option,4,165,10,All-wheel Drive,Gas,9.2,N/A,"5 years, 100k","5 years, 100k","5 years, unlimited",Good,Good,Yes
Hyundai,Veloster,21.3,Hatchback,Manual,4,148,8.8,Front-wheel Drive,Gas,6.5,N/A,"5 years, 100k","5 years, 100k","5 years, unlimited",N/A,Very Good,Yes
Infiniti,EX,41.9,Crossover,Automatic with Manual Option,6,325,7,All-wheel Drive,Gas,10.1,N/A,"4 years, 100k","6 years, 110k","7 years, unlimited",Good,Very Good,Yes
Infiniti,FX,55.4,SUV (mid-size),Automatic with Manual Option,6,325,7,All-wheel Drive,Gas,11,3500,"4 years, 100k","6 years, 110k","7 years, unlimited",Good,Very Good,Yes
Infiniti,G Sedan,46,Mid-Size (Sedan),Automatic with Manual Option,6,327,5.8,All-wheel Drive,Gas,9.8,N/A,"4 years, 100k","6 years, 110k","7 years, unlimited",Good,Excellent,Yes
Infiniti,G Convertible,59.3,Convertible,Automatic with Manual Option,6,330,6.2,All-wheel Drive,Gas,9.2,N/A,"4 years, 100k","6 years, 110k","7 years, unlimited",Good,Poor,No
Infiniti,G Coupe,48.8,Coupe,Automatic with Manual Option,6,330,5.8,All-wheel Drive,Gas,9.2,N/A,"4 years, 100k","6 years, 110k","7 years, unlimited",Good,Excellent,Yes
Infiniti,JX,46.9,Crossover,Automatic with Manual Option,6,265,8.6,All-wheel Drive,Gas,10,N/A,"4 years, 100k","6 years, 110k","7 years, unlimited",Good,Very Good,Yes
Infiniti,M,54.7,Mid-size (Sedan),Automatic with Manual Option,6,330,6,Rear-wheel Drive,Gas,9.4,N/A,"4 years, 100k","6 years, 110k","7 years, unlimited",Good,Good,Yes
Infiniti,QX,75.2,SUV (full-size),Automatic with Manual Option,8,400,7.2,All-wheel Drive,Gas,13,8500,"4 years, 100k","6 years, 110k","7 years, unlimited",N/A,Good,Yes
Jeep,Compass,24.7,SUV (mid-size),Automatic,4,172,10.7,All-wheel Drive,Gas,8.8,1000,"3 years, 60k","5 years, 160k","5 years, 160k",N/A,Fair,No
Jeep,Grand Cherokee,41.7,SUV (full-size),Automatic with Manual Option,6,290,8.3,All-wheel Drive,Gas,10.9,5000,"3 years, 60k","5 years, 160k","5 years, 160k",Good,Good,Yes
Jeep,Patriot,23.9,SUV (small-size),Automatic,4,172,10.7,All-wheel Drive,Gas,8.8,1000,"3 years, 60k","5 years, 160k","5 years, 160k",Good,Very Good,No
